"id","a","b"
"dimangarati","dicerna"
"dimuek","dimuat"
"dinaih","dinas"
"dindiang","dinding"
"dingin","dingin"
"dioroangkan","diurungkan"
"diosoang","digotong"
"dipaek","dipahat"
"dipaelok","dipuga"
"dipaleba","diperlebar"
"dipan","dipan"
"dipanciang","dipancing"
"dipanggia","dipanggil"
"dipangkeh","dipangkas"
"diparam","diperam"
"diparantikan","dipecat dipecat"
"dipaso","dipaksa"
"dipiliah","dipilih"
"diplomaik","diplomat"
"dipunguik","dipungut"
"dipupuak","dipupuk"
"diputa","diputar"
"diputuihkan","diputuskan"
"dirabuik","direbut"
"diraiah","diraih"
"dirandam","direndam"
"dirangguik","direnggut"
"dirangkuah","direngkuh"
"dirantangkan","direntangan"
"diranuangkan","direnungkan"
"dirasahkan","diresahkan"
"dirauik","diraut"
"diri","diri"
"diruih","dirus guyur"
"dirunduang","dirundung"
"disabakan","disebarkan"
"disabuik","disebut"
"disabuikkan","disebutkan"
"disadua","disadur"
"disalekkan","disisipkan"
"disaluakan","disalurkan"
"disambuang","disambung"
"disambuik","disambut"
"disangek","disengat"
"disanggua","disanggul"
"disangko","disangka"
"disanjuang","disanjung"
"disarahkan","diserahkan"
"disarang","diserang"
"disasakan","didesak"
"disasali","disesali"
"disatoi","disertai"
"disemba","disambar"
"diseso","disiksa"
"disiaseki","disiasati"
